smiles	Hansch pi	Hammett sigma p
[R]c1ccc(C(C)NC(C)=O)cc1	1.334	0.029
[R]c1ccc(Cl)s1	2.337	0.097
[R]C(=O)c1cccnc1	0.203	0.521
[R]CCN(CC)CC	1.117	-0.098
[R]Nc1ccccc1C	1.959	-0.402
[R]C(=O)c1ccccc1Cl	2.032	0.475
[R]CNC	-0.181	-0.093
[R]n1cnnn1	-0.397	0.467
[R]CCF	0.613	0.005
[R]C(=O)Nc1ccc(C)cc1	1.522	0.44
[R]Nc1nccs1	0.422	-0.36
[R]Nc1ccc(F)c(Cl)c1	2.149	-0.259
[R]Cc1ccc(Cl)cc1Cl	3.41	-0.065
[R]c1cccc(Cl)c1F	2.635	0.072
[R]c1ccccc1c2ccccc2	3.662	-0.046
[R]NCC(O)=O	-0.788	-0.489
[R]c1ccc(C(C)=O)cc1	1.286	0.105
[R]CCCC(O)=O	0.717	-0.076
[R]Cc1ccc(C(F)(F)F)cc1	3.257	-0.016
[R]c1ccc(O)c(OC)c1	1.44	0.03
[R]c1ccc(F)cn1	1.204	0.211
[R]NCc1cccnc1	0.135	-0.574
[R]S(O)(=O)=O	-0.376	0.654
[R]Nc1cccnc1	0.179	-0.307
[R]CCCN1CCCCC1	1.55	-0.115
[R]Oc1ccc(OC)cc1	1.416	-0.109
[R]c1ccc(OC)nc1	1.111	-0.004
[R]Cc1ccccc1C	2.841	-0.117
[R]NC23CC1CC(CC(C1)C2)C3	1.389	-0.669
[R]N1CCN(CC)CC1	0.176	-0.675
[R]Cc1c(F)cccc1F	2.653	-0.057
[R]c1cccc2cccnc12	2.067	-0.079
[R]Cc1ccc(N(=O)=O)cc1	2.327	0.067
[R]C(=O)Nc1cccc(C)c1	1.522	0.44
[R]Nc1ccc(C(F)(F)F)cc1	2.374	-0.239
[R]N1CCCC1=O	-0.522	-0.292
[R]C(=O)C1CCCCC1	2.414	0.448
[R]Nc1ccc(S(N)(=O)=O)cc1	0.344	-0.204
[R]C1CCCCCC1	2.568	-0.133
[R]c2nc1ccccc1o2	1.538	0.385
[R]C(CC)CC	2.28	-0.137
[R]NCCN1CCOCC1	-0.693	-0.607
[R]c1ccnc(C)c1	0.836	0.103
[R]c1ccc(O)cc1O	1.409	-0.02
[R]C(=O)c1ccncc1	0.203	0.545
[R]NS(=O)(=O)c1ccc(C)cc1	1.488	-0.171
[R]c1ccccc1C#N	2.013	0.111
[R]N2Cc1ccccc1C2	1.538	-0.59
[R]C(=O)Nc1nccs1	-0.014	0.483
[R]C(CCC(O)=O)C(O)=O	0.046	0.032
[R]NCCC(O)=O	-0.607	-0.576
[R]N1CCC1	-0.094	-0.66
[R]c1cccc(OC(F)(F)F)c1	3.47	0.089
[R]c1c(F)cccc1Cl	2.635	0.097
[R]NCC(N)=O	-1.653	-0.55
[R]N1CCN(C(C)=O)CC1	-0.864	-0.565
[R]n1cccn1	0.03	0.103
[R]CCCCCCCC	3.534	-0.129
[R]C(C)NC	0.232	-0.122
[R]c1nc(C)cc(C)n1	0.56	0.17
[R]C(N)Cc1ccccc1	1.509	-0.05
[R]c1ccccc1c2nn[nH]n2	1.724	-0.012
[R]Cc1ccc(F)c(F)c1	2.653	-0.019
[R]Nc1ccc(OC(F)(F)F)cc1	2.984	-0.311
[R]C(=O)c1ccccn1	0.602	0.38
[R]C(=O)NCC1CCCO1	-0.395	0.329
[R]CCCCCCC	3.138	-0.129
[R]c1ccc(F)cc1Cl	2.635	0.065
[R]OCCO	-0.456	-0.272
[R]C(Cc1ccccc1)NC(C)=O	1.336	-0.112
[R]NC(N)=O	-1.183	-0.334
[R]Cc1cccc(C)c1	2.841	-0.117
[R]c1ccc(SC)cc1	2.068	-0.014
[R]Cc1ccc(Br)cc1	3.166	-0.054
[R]OCC(F)(F)F	0.962	-0.044
[R]N(C)S(C)(=O)=O	-0.299	-0.229
[R]N1CCC(O)C1	-0.466	-0.622
[R]c1cnn2cccnc12	0.357	-0.242
[R]C(=O)c1cnn2cccnc12	-0.106	0.325
[R]NC(=O)c1cnn2cccnc12	-0.619	-0.381
[R]C(=O)c1cccc(C(F)(F)F)c1	2.397	0.554
[R]c2cc1ccccc1o2	1.692	0.19
[R]c1ncnc2[nH]ccc12	0.487	0.228
[R]C1CCNC1	-0.012	-0.088
[R]NCc1ccc(OC)cc1	1.194	-0.636
[R]C1CNCCO1	-0.453	-0.001
[R]S(=O)(=O)N(C)C	-0.299	0.554
[R]N1CCCC1C	0.77	-0.677
[R]C(=O)NCC(N)=O	-1.95	0.369
[R]c1cc(Cl)ccc1OC	2.243	-0.047
[R]c1cnc(N)nc1	-0.259	-0.028
[R]C(=O)CCc1ccccc1	2.78	0.473
[R]n1cncn1	-0.138	0.252
[R]C(=O)C(C)NC	0.581	0.45
[R]C(=O)NCc1ccc(F)cc1	1.289	0.39
[R]c1ccncn1	0.421	0.293
[R]NC(=O)C(C)NC	-0.869	-0.323
[R]c1ccc(C)cn1	1.532	0.125
[R]C(=O)NCCCC	0.581	0.36
[R]C(C)=C	1.095	-0.066
[R]NCc1ccccn1	0.285	-0.618
[R]Cc1ccc(OC)c(OC)c1	1.868	-0.114
[R]NCc2ccc1OCOc1c2	1.131	-0.596
[R]C(=O)c2ccc1ccccc1c2	2.517	0.453
[R]S(=O)(=O)N1CCCCC1	0.423	0.543
[R]C(=O)N2Cc1ccccc1C2	1.126	0.388
[R]c1cc(Cl)ccc1Cl	3.013	0.106
[R]NCc1ccc(Cl)cc1	1.965	-0.582
[R]Nc1ccccc1N	0.708	-0.462
[R]NC(CCC(O)=O)C(O)=O	-0.618	-0.47
[R]C(=O)Nc1cccc(OC)c1	0.802	0.448
[R]C(=O)Nc1ccccc1OC	0.802	0.402
[R]Cc1cccc(C(F)(F)F)c1	3.257	-0.036
[R]C(=O)NC(CCC(O)=O)C(O)=O	-0.915	0.437
[R]N1CCOCC1C	0.102	-0.634
[R]Nc1ccccc1Cl	2.009	-0.316
[R]NCC(C)C	0.884	-0.647
[R]SCC	0.673	-0.044
[R]CC1CCCC1	2.172	-0.136
[R]Nc1cccc(Br)c1	2.283	-0.311
[R]n1cnc2c(N)ncnc12	-0.243	0.056
[R]c1ccc(I)cc1	3.235	0.075
[R]S(=O)(=O)Nc1nccs1	0.095	0.545
[R]C(=O)Nc1cccnc1	-0.257	0.492
[R]NC(=O)Nc1ccccc1	0.746	-0.292
[R]Nc1ccc(Br)cc1	2.283	-0.299
[R]Nc1ccc(OCC)cc1	1.581	-0.422
[R]C=CC(O)=O	0.524	0.307
[R]Oc1ccc(C)cc1	2.136	-0.103
[R]c1ccon1	0.416	0.166
[R]SCc1ccccc1	2.107	-0.035
[R]Nc2ccc1OCCOc1c2	0.808	-0.387
[R]C(=O)NCCC(O)=O	-0.904	0.41
[R]NC(=O)c1ccc(OC)cc1	0.749	-0.308
[R]C(CC)c1ccccc1	3.101	-0.103
[R]CC(F)F	0.509	0.087
[R]c1ccc(C(=O)OCC)cc1	2.05	0.109
[R]S(=O)(=O)CC	-0.273	0.589
[R]OCC(C)C	1.201	-0.277
[R]NCCN(C)C	-0.351	-0.633
[R]C1CCC(C)CC1	2.502	-0.131
[R]NCC(F)(F)F	0.645	-0.414
[R]c1cc(F)c(F)cc1F	2.396	0.163
[R]CC(=O)N1CCOCC1	-0.79	-0.103
[R]C(=O)CC(C)C	1.894	0.458
[R]NCc1cccs1	0.669	-0.598
[R]C(C(C)C)C(O)=O	1.213	-0.031
[R]S(=O)(=O)N1CCCC1	0.026	0.545
[R]c1ccc(F)c(C(F)(F)F)c1	3	0.138
[R]Nc1ccccc1F	1.631	-0.324
[R]OC1CCCC1	1.176	-0.285
[R]C#C	0.475	0.09
[R]CCC#N	0.658	0.043
[R]c2cnc1ccccc1c2	2.067	0.07
[R]CCNC(C)=O	-0.511	-0.019
[R]Nc1cccc(F)c1	1.631	-0.307
[R]C(=O)c1cccc(OC)c1	1.262	0.461
[R]C(=O)Nc1ccccc1N	0.272	0.44
[R]C(=O)Nc1cccc(Cl)c1	1.573	0.489
[R]Nc1ccc(Cl)c(Cl)c1	2.527	-0.25
[R]c2ccc1[nH]ncc1c2	1.071	-0.066
[R]C1CCC(O)CC1	1.114	-0.148
[R]C(=O)c1ccccc1F	1.654	0.485
[R]NC(Cc1ccccc1)C(O)=O	1.435	-0.557
[R]C(O)c1ccccc1	1.605	-0.009
[R]C=CC(=O)NO	0.145	0.277
[R]N2CCN(c1ccccn1)CC2	1.374	-0.622
[R]NS(=O)(=O)c1ccc(Cl)cc1	1.539	-0.114
[R]Nc2ccc1OCOc1c2	1.176	-0.335
[R]C(=O)COc1ccccc1	2.042	0.572
[R]Cn1ccnc1	-0.443	0.133
[R]C(=O)c1ccc(Br)cc1	2.306	0.518
[R]CCC(F)(F)F	1.814	0.043
[R]NC(=O)NCC	-0.594	-0.364
[R]c1cccc(Cl)c1C	2.963	0.034
[R]NC(=O)c1ccc(F)cc1	1.141	-0.256
[R]Cc1cc(F)cc(F)c1	2.653	-0.003
[R]C#Cc1ccc(N)nc1	0.884	0.06
[R]C(=O)c1ccccc1C	1.982	0.445
[R]C(=O)CO	-0.017	0.513
[R]C(=O)NCC(O)=O	-1.085	0.418
[R]CCl	0.904	0.075
[R]CCc1ccc(OC)cc1	2.517	-0.11
[R]CCc1c[nH]c2ccccc12	2.078	-0.128
[R]NN	-0.622	-0.611
[R]c1cccc(C(N)=O)c1	0.811	0.021
[R]C#Cc1ccccc1	2.28	0.103
[R]OCCCN1CCCCC1	0.74	-0.261
[R]NC(=O)N2Cc1ccccc1C2	0.817	-0.342
[R]C1CC1c2ccccc2	2.531	-0.12
[R]CC(C)(C)O	0.501	-0.148
[R]c1ccc(OC)c(Cl)c1	2.243	-0.017
[R]CCc1ccccn1	1.393	-0.125
[R]NC(=O)CCC	0.113	-0.299
[R]c1cccc(N)c1	1.194	-0.046
[R]Nc2nc1ccccc1s2	2.223	-0.311
[R]c1ccccc1S(N)(=O)=O	0.83	0.136
[R]NC(=O)C(C)(C)C	0.944	-0.31
[R]C(=O)c1cccc(Cl)c1	2.032	0.515
[R]Cc2ccc1ccccc1n2	2.398	-0.125
[R]OCCN1CCOCC1	-0.376	-0.273
[R]CCc1ccc(Cl)cc1	3.288	-0.066
[R]COCc1ccccc1	1.813	-0.06
[R]C(=O)c1ccccc1OC	1.262	0.345
[R]CCCCc1ccccc1	3.563	-0.118
[R]c1cnc(N)cn1	-0.332	0.078
[R]Cc1ccc(C(N)=N)cc1	1.379	-0.072
